client_id,month,total_queries,queries_with_data,impressions,clicks,ctr_x100,avg_position,gsc_data_start,is_ai_referral_available,label_visibility_drop,tracked_terms_returning,term_universe_size
c000,2025-04,1898,1044,20755,779,375.56,0.0,2025-04,True,0.0,1445.0,2253.0
c000,2025-05,2253,1445,50316,823,163.58,28.32,2025-04,,1.0,531.0,2049.0
c000,2025-06,2049,531,80763,6599,817.16,35.58,2025-04,,0.0,1823.0,2339.0
c000,2025-07,2339,1823,89056,2939,330.12,22.46,2025-04,,0.0,1655.0,1887.0
c000,2025-08,1887,1655,51601,1751,339.35,8.62,2025-04,True,0.0,1713.0,2484.0
c000,2025-09,2484,1713,21986,286,130.52,0.0,2025-04,True,0.0,1206.0,1996.0
c000,2025-10,1996,1206,75772,3660,483.11,13.05,2025-04,True,1.0,1272.0,2556.0
c001,2025-05,999,565,30224,3318,1097.97,0.0,2025-05,False,0.0,547.0,811.0
c001,2025-06,811,547,21649,1136,525.19,3.26,2025-05,True,0.0,721.0,1021.0
c001,2025-07,1021,721,19166,1148,599.26,0.0,2025-05,False,0.0,698.0,897.0
c001,2025-08,897,698,18569,219,118.31,3.01,2025-05,False,0.0,630.0,980.0
c001,2025-09,980,630,20029,418,208.99,4.33,2025-05,True,0.0,776.0,1055.0
c001,2025-10,1055,776,10717,763,712.56,24.42,2025-05,,1.0,424.0,833.0
c002,2025-03,428,286,13739,1038,756.04,4.37,2025-03,,1.0,199.0,368.0
c002,2025-04,368,199,9298,311,334.72,34.96,2025-03,False,1.0,221.0,395.0
c002,2025-05,395,221,3510,125,357.4,34.9,2025-03,False,1.0,157.0,369.0
c002,2025-06,369,157,8523,269,316.06,32.91,2025-03,True,0.0,326.0,382.0
c002,2025-07,382,326,3909,319,818.12,0.0,2025-03,True,0.0,289.0,364.0
c002,2025-08,364,289,4607,511,1110.98,21.3,2025-03,,0.0,299.0,457.0
c002,2025-09,457,299,7818,358,458.05,19.11,2025-03,True,0.0,419.0,469.0
c002,2025-10,469,419,7261,52,72.51,28.51,2025-03,,0.0,279.0,458.0
c003,2025-05,299,197,10952,341,312.23,0.0,2025-05,False,0.0,348.0,397.0
c003,2025-06,397,348,8857,929,1049.34,7.49,2025-05,False,0.0,283.0,387.0
c003,2025-07,387,283,7410,769,1038.28,0.0,2025-05,,0.0,294.0,371.0
c003,2025-08,371,294,6441,208,324.05,10.59,2025-05,,1.0,170.0,301.0
c003,2025-09,301,170,8106,377,465.17,25.11,2025-05,,0.0,254.0,318.0
c003,2025-10,318,254,4559,321,705.52,6.56,2025-05,True,1.0,151.0,392.0
c004,2025-04,569,360,12798,191,149.32,15.32,2025-04,True,0.0,501.0,717.0
c004,2025-05,717,501,23264,254,109.56,36.64,2025-04,,0.0,473.0,619.0
c004,2025-06,619,473,10312,224,217.37,22.73,2025-04,False,0.0,506.0,651.0
c004,2025-07,651,506,7843,629,802.36,4.94,2025-04,,0.0,685.0,778.0
c004,2025-08,778,685,26702,1324,496.03,13.07,2025-04,True,0.0,460.0,717.0
c004,2025-09,717,460,20136,20,10.0,9.94,2025-04,True,0.0,722.0,786.0
c004,2025-10,786,722,8930,244,273.44,29.98,2025-04,False,0.0,549.0,691.0
c005,2025-01,3803,1604,51624,1067,206.8,0.0,2025-01,,0.0,2612.0,3271.0
c005,2025-02,3271,2612,105428,1409,133.72,29.69,2025-01,True,0.0,3244.0,3800.0
c005,2025-03,3800,3244,84936,1297,152.81,27.19,2025-01,,0.0,2790.0,3473.0
c005,2025-04,3473,2790,39489,768,194.61,32.1,2025-01,True,0.0,2007.0,2770.0
c005,2025-05,2770,2007,43496,701,161.19,33.64,2025-01,False,0.0,3294.0,3331.0
c005,2025-06,3331,3294,69633,1433,205.93,0.0,2025-01,True,0.0,1802.0,3002.0
c005,2025-07,3002,1802,46764,1874,400.74,16.63,2025-01,False,0.0,2556.0,3750.0
c005,2025-08,3750,2556,147806,12818,867.26,33.64,2025-01,,1.0,1852.0,3277.0
c005,2025-09,3277,1852,75025,6199,826.32,25.0,2025-01,,1.0,1934.0,3420.0
c005,2025-10,3420,1934,118876,6284,528.66,6.75,2025-01,False,0.0,2508.0,3380.0
c006,2025-04,735,349,17570,957,545.1,0.0,2025-04,True,0.0,476.0,710.0
c006,2025-05,710,476,8311,401,483.3,38.29,2025-04,True,0.0,464.0,589.0
c006,2025-06,589,464,22925,701,305.92,4.19,2025-04,False,1.0,303.0,652.0
c006,2025-07,652,303,14610,552,377.9,16.76,2025-04,True,0.0,444.0,565.0
c006,2025-08,565,444,15414,193,125.74,32.39,2025-04,False,1.0,283.0,593.0
c006,2025-09,593,283,17379,580,334.24,0.0,2025-04,False,0.0,421.0,668.0
c006,2025-10,668,421,9568,306,320.62,11.14,2025-04,,0.0,454.0,756.0
c007,2025-04,59,53,1707,30,177.17,0.0,2025-04,True,0.0,44.0,65.0
c007,2025-05,65,44,1765,73,417.73,25.21,2025-04,True,0.0,38.0,63.0
c007,2025-06,63,38,1522,75,499.2,11.57,2025-04,,0.0,56.0,68.0
c007,2025-07,68,56,1762,30,171.65,39.73,2025-04,True,0.0,47.0,63.0
c007,2025-08,63,47,1472,72,492.72,9.76,2025-04,True,1.0,29.0,69.0
c007,2025-09,69,29,1726,40,234.35,10.2,2025-04,False,1.0,41.0,76.0
c007,2025-10,76,41,1909,46,245.71,25.9,2025-04,True,0.0,48.0,72.0
c008,2025-03,237,167,3549,78,222.02,5.19,2025-03,False,0.0,136.0,199.0
c008,2025-04,199,136,4518,379,839.98,13.29,2025-03,,0.0,189.0,244.0
c008,2025-05,244,189,7898,524,663.81,0.0,2025-03,,0.0,181.0,219.0
c008,2025-06,219,181,4766,183,384.83,22.07,2025-03,True,0.0,198.0,240.0
c008,2025-07,240,198,8956,555,620.0,23.72,2025-03,False,0.0,161.0,239.0
c008,2025-08,239,161,3288,253,771.38,34.03,2025-03,False,0.0,145.0,215.0
c008,2025-09,215,145,3944,131,333.94,28.88,2025-03,False,0.0,166.0,234.0
c008,2025-10,234,166,6061,454,750.62,33.65,2025-03,True,0.0,197.0,256.0
c009,2025-03,255,190,2123,67,316.66,16.57,2025-03,False,0.0,208.0,227.0
c009,2025-04,227,208,6051,165,273.69,17.77,2025-03,True,0.0,226.0,262.0
c009,2025-05,262,226,2506,224,897.22,38.38,2025-03,True,0.0,152.0,225.0
c009,2025-06,225,152,2357,206,877.98,18.12,2025-03,False,0.0,250.0,254.0
c009,2025-07,254,250,3068,56,183.75,27.04,2025-03,False,1.0,116.0,195.0
c009,2025-08,195,116,2283,67,296.36,28.1,2025-03,,0.0,201.0,257.0
c009,2025-09,257,201,10026,713,711.57,38.96,2025-03,,0.0,182.0,224.0
c009,2025-10,224,182,4599,96,210.26,13.86,2025-03,False,0.0,157.0,193.0
c010,2025-04,466,296,8555,146,170.88,28.58,2025-04,False,0.0,419.0,564.0
c010,2025-05,564,419,13454,684,508.69,18.17,2025-04,False,0.0,351.0,459.0
c010,2025-06,459,351,5438,723,1330.42,12.96,2025-04,,0.0,317.0,428.0
c010,2025-07,428,317,8398,519,618.04,10.18,2025-04,,0.0,464.0,583.0
c010,2025-08,583,464,20725,746,360.2,24.88,2025-04,True,0.0,427.0,552.0
c010,2025-09,552,427,14120,875,619.91,4.06,2025-04,True,0.0,375.0,452.0
c010,2025-10,452,375,9528,219,230.04,33.28,2025-04,False,0.0,312.0,440.0
c011,2025-01,219,140,5332,319,599.05,6.67,2025-01,False,0.0,147.0,234.0
c011,2025-02,234,147,8005,184,230.14,11.08,2025-01,True,0.0,209.0,266.0
c011,2025-03,266,209,6573,660,1004.3,4.28,2025-01,False,0.0,227.0,252.0
c011,2025-04,252,227,3634,400,1101.45,21.97,2025-01,,0.0,167.0,253.0
c011,2025-05,253,167,5384,98,183.11,0.0,2025-01,False,0.0,216.0,256.0
c011,2025-06,256,216,7978,306,384.28,11.43,2025-01,True,0.0,185.0,229.0
c011,2025-07,229,185,2260,54,242.3,37.25,2025-01,,0.0,185.0,249.0
c011,2025-08,249,185,7003,215,308.39,0.0,2025-01,True,0.0,170.0,230.0
c011,2025-09,230,170,4390,220,503.37,28.44,2025-01,,0.0,239.0,280.0
c011,2025-10,280,239,9300,265,285.29,5.62,2025-01,False,1.0,90.0,239.0
c012,2025-01,61,24,1686,81,483.09,24.54,2025-01,False,0.0,46.0,56.0
c012,2025-02,56,46,1149,12,110.43,26.4,2025-01,True,0.0,35.0,58.0
c012,2025-03,58,35,967,90,940.86,19.73,2025-01,,0.0,32.0,48.0
c012,2025-04,48,32,987,42,427.21,15.55,2025-01,False,0.0,53.0,61.0
c012,2025-05,61,53,640,99,1559.09,4.77,2025-01,,0.0,33.0,52.0
c012,2025-06,52,33,1404,62,446.09,11.83,2025-01,False,0.0,37.0,50.0
c012,2025-07,50,37,789,23,294.98,25.6,2025-01,False,1.0,36.0,61.0
c012,2025-08,61,36,1072,83,779.36,10.89,2025-01,True,1.0,32.0,61.0
c012,2025-09,61,32,1364,85,628.28,29.56,2025-01,False,1.0,21.0,59.0
c012,2025-10,59,21,1425,15,105.35,32.63,2025-01,True,0.0,44.0,62.0
c013,2025-01,1259,1150,49529,690,139.43,0.0,2025-01,,1.0,583.0,1166.0
c013,2025-02,1166,583,19858,993,500.41,22.07,2025-01,,1.0,742.0,1360.0
c013,2025-03,1360,742,29564,366,123.8,22.07,2025-01,False,1.0,733.0,1237.0
c013,2025-04,1237,733,24519,336,137.35,14.99,2025-01,,0.0,709.0,1079.0
c013,2025-05,1079,709,40360,810,200.94,34.47,2025-01,False,0.0,722.0,967.0
c013,2025-06,967,722,34421,2123,616.96,6.03,2025-01,True,1.0,588.0,1232.0
c013,2025-07,1232,588,38191,759,198.82,24.6,2025-01,,0.0,1115.0,1341.0
c013,2025-08,1341,1115,47913,650,135.82,36.37,2025-01,False,0.0,1182.0,1277.0
c013,2025-09,1277,1182,50983,1565,307.08,32.38,2025-01,False,0.0,741.0,1040.0
c013,2025-10,1040,741,13750,679,493.84,18.91,2025-01,False,0.0,681.0,1106.0
c014,2025-04,3931,2916,82420,3534,428.83,17.29,2025-04,,0.0,3436.0,4198.0
c014,2025-05,4198,3436,102505,4189,408.69,12.59,2025-04,False,0.0,3025.0,4300.0
c014,2025-06,4300,3025,124019,11400,919.28,29.33,2025-04,True,1.0,3012.0,5569.0
c014,2025-07,5569,3012,59192,1724,291.35,0.0,2025-04,False,1.0,2484.0,5072.0
c014,2025-08,5072,2484,144622,744,51.51,4.19,2025-04,True,1.0,3146.0,5407.0
c014,2025-09,5407,3146,194407,17182,883.86,28.1,2025-04,False,0.0,3701.0,5064.0
c014,2025-10,5064,3701,61661,6007,974.22,23.34,2025-04,True,0.0,3412.0,5181.0
c015,2025-02,266,148,3002,110,368.0,31.36,2025-02,,1.0,139.0,278.0
c015,2025-03,278,139,10830,33,30.79,9.07,2025-02,True,1.0,203.0,347.0
c015,2025-04,347,203,11895,568,477.58,6.43,2025-02,True,0.0,148.0,233.0
c015,2025-05,233,148,5443,129,237.29,39.32,2025-02,True,1.0,155.0,260.0
c015,2025-06,260,155,2873,152,532.01,15.67,2025-02,True,0.0,158.0,236.0
c015,2025-07,236,158,2302,14,61.43,19.21,2025-02,True,1.0,121.0,283.0
c015,2025-08,283,121,9333,804,862.01,0.0,2025-02,,0.0,237.0,312.0
c015,2025-09,312,237,5433,87,160.53,16.41,2025-02,False,0.0,172.0,253.0
c015,2025-10,253,172,7083,168,238.24,4.99,2025-02,False,0.0,254.0,319.0
