client_id,month,total_queries,queries_with_data,impressions,clicks,ctr_x100,avg_position,gsc_data_start,is_ai_referral_available,label_visibility_drop,clicks_prev_month,impressions_prev_month,months_of_history
c000,2025-04,1898,1044,20755,779,375.56,0.0,2025-04,True,0.0,,,0
c000,2025-05,2253,1445,50316,823,163.58,28.32,2025-04,,1.0,779.0,20755.0,1
c000,2025-06,2049,531,80763,6599,817.16,35.58,2025-04,,0.0,823.0,50316.0,2
c000,2025-07,2339,1823,89056,2939,330.12,22.46,2025-04,,0.0,6599.0,80763.0,3
c000,2025-08,1887,1655,51601,1751,339.35,8.62,2025-04,True,0.0,2939.0,89056.0,4
c000,2025-09,2484,1713,21986,286,130.52,0.0,2025-04,True,0.0,1751.0,51601.0,5
c000,2025-10,1996,1206,75772,3660,483.11,13.05,2025-04,True,1.0,286.0,21986.0,6
c000,2025-11,2556,1272,61266,1897,309.73,0.0,2025-04,True,1.0,3660.0,75772.0,7
c001,2025-05,999,565,30224,3318,1097.97,0.0,2025-05,False,0.0,,,0
c001,2025-06,811,547,21649,1136,525.19,3.26,2025-05,True,0.0,3318.0,30224.0,1
c001,2025-07,1021,721,19166,1148,599.26,0.0,2025-05,False,0.0,1136.0,21649.0,2
c001,2025-08,897,698,18569,219,118.31,3.01,2025-05,False,0.0,1148.0,19166.0,3
c001,2025-09,980,630,20029,418,208.99,4.33,2025-05,True,0.0,219.0,18569.0,4
c001,2025-10,1055,776,10717,763,712.56,24.42,2025-05,,1.0,418.0,20029.0,5
c001,2025-11,833,424,14781,287,194.66,0.0,2025-05,,0.0,763.0,10717.0,6
c002,2025-03,428,286,13739,1038,756.04,4.37,2025-03,,1.0,,,0
c002,2025-04,368,199,9298,311,334.72,34.96,2025-03,False,1.0,1038.0,13739.0,1
c002,2025-05,395,221,3510,125,357.4,34.9,2025-03,False,1.0,311.0,9298.0,2
c002,2025-06,369,157,8523,269,316.06,32.91,2025-03,True,0.0,125.0,3510.0,3
c002,2025-07,382,326,3909,319,818.12,0.0,2025-03,True,0.0,269.0,8523.0,4
c002,2025-08,364,289,4607,511,1110.98,21.3,2025-03,,0.0,319.0,3909.0,5
c002,2025-09,457,299,7818,358,458.05,19.11,2025-03,True,0.0,511.0,4607.0,6
