client_id,month,total_queries,queries_with_data,impressions,clicks,ctr_x100,avg_position,gsc_data_start,is_ai_referral_available,label_visibility_drop,risk_score
c000,2025-04,1898,1044,20755,779,375.56,0.0,2025-04,True,0.0,0.2870917068851392
c000,2025-05,2253,1445,50316,823,163.58,28.32,2025-04,,1.0,100.33809952707155
c000,2025-06,2049,531,80763,6599,817.16,35.58,2025-04,,0.0,-0.03784266236123035
c000,2025-07,2339,1823,89056,2939,330.12,22.46,2025-04,,0.0,0.47404609030974965
c000,2025-08,1887,1655,51601,1751,339.35,8.62,2025-04,True,0.0,0.36193973974132376
c000,2025-09,2484,1713,21986,286,130.52,0.0,2025-04,True,0.0,0.05518469872573986
c000,2025-10,1996,1206,75772,3660,483.11,13.05,2025-04,True,1.0,100.17094085974952
c000,2025-11,2556,1272,61266,1897,309.73,0.0,2025-04,True,1.0,101.04319716695097
c001,2025-05,999,565,30224,3318,1097.97,0.0,2025-05,False,0.0,-0.18196980368216956
c001,2025-06,811,547,21649,1136,525.19,3.26,2025-05,True,0.0,-0.2519326587436064
c001,2025-07,1021,721,19166,1148,599.26,0.0,2025-05,False,0.0,0.714412163483992
c001,2025-08,897,698,18569,219,118.31,3.01,2025-05,False,0.0,0.15242891147927612
c001,2025-09,980,630,20029,418,208.99,4.33,2025-05,True,0.0,-0.24975711397621336
c001,2025-10,1055,776,10717,763,712.56,24.42,2025-05,,1.0,99.96895496376645
c001,2025-11,833,424,14781,287,194.66,0.0,2025-05,,0.0,-0.5097543744631319
c002,2025-03,428,286,13739,1038,756.04,4.37,2025-03,,1.0,99.95396260623404
c002,2025-04,368,199,9298,311,334.72,34.96,2025-03,False,1.0,100.91109995900138
c002,2025-05,395,221,3510,125,357.4,34.9,2025-03,False,1.0,100.1102649193688
c002,2025-06,369,157,8523,269,316.06,32.91,2025-03,True,0.0,-0.12333510171315631
c002,2025-07,382,326,3909,319,818.12,0.0,2025-03,True,0.0,0.26252439132126576
c002,2025-08,364,289,4607,511,1110.98,21.3,2025-03,,0.0,0.03310435084921764
c002,2025-09,457,299,7818,358,458.05,19.11,2025-03,True,0.0,-0.2890741556634174
c002,2025-10,469,419,7261,52,72.51,28.51,2025-03,,0.0,-0.2373553482949154
c002,2025-11,458,279,11618,545,469.59,22.72,2025-03,False,0.0,0.4443185039884811
c003,2025-05,299,197,10952,341,312.23,0.0,2025-05,False,0.0,-0.008838449917064915
c003,2025-06,397,348,8857,929,1049.34,7.49,2025-05,False,0.0,-0.26535805666296125
c003,2025-07,387,283,7410,769,1038.28,0.0,2025-05,,0.0,0.324404083441189
c003,2025-08,371,294,6441,208,324.05,10.59,2025-05,,1.0,100.50157853488528
c003,2025-09,301,170,8106,377,465.17,25.11,2025-05,,0.0,0.09995795343177075
c003,2025-10,318,254,4559,321,705.52,6.56,2025-05,True,1.0,99.7950497155164
c003,2025-11,392,151,4503,651,1446.68,37.94,2025-05,True,1.0,99.94636302077399
c004,2025-04,569,360,12798,191,149.32,15.32,2025-04,True,0.0,0.3771849089862484
c004,2025-05,717,501,23264,254,109.56,36.64,2025-04,,0.0,0.007954139934486076
c004,2025-06,619,473,10312,224,217.37,22.73,2025-04,False,0.0,-1.05566259986465
c004,2025-07,651,506,7843,629,802.36,4.94,2025-04,,0.0,0.15202773675342243
c004,2025-08,778,685,26702,1324,496.03,13.07,2025-04,True,0.0,-0.33070452204390416
