client_id,month,total_queries,queries_with_data,impressions,clicks,ctr_x100,avg_position,gsc_data_start,is_ai_referral_available,label_visibility_drop,content_quality_index
c000,2025-04,1898,1044,20755,779,375.56,0.0,2025-04,True,0.0,55.0
c000,2025-05,2253,1445,50316,823,163.58,28.32,2025-04,,1.0,19.5
c000,2025-06,2049,531,80763,6599,817.16,35.58,2025-04,,0.0,62.8
c000,2025-07,2339,1823,89056,2939,330.12,22.46,2025-04,,0.0,46.2
c000,2025-08,1887,1655,51601,1751,339.35,8.62,2025-04,True,0.0,57.8
c000,2025-09,2484,1713,21986,286,130.52,0.0,2025-04,True,0.0,37.5
c000,2025-10,1996,1206,75772,3660,483.11,13.05,2025-04,True,1.0,31.2
c001,2025-05,999,565,30224,3318,1097.97,0.0,2025-05,False,0.0,49.2
c001,2025-06,811,547,21649,1136,525.19,3.26,2025-05,True,0.0,58.4
c001,2025-07,1021,721,19166,1148,599.26,0.0,2025-05,False,0.0,50.9
c001,2025-08,897,698,18569,219,118.31,3.01,2025-05,False,0.0,41.5
c001,2025-09,980,630,20029,418,208.99,4.33,2025-05,True,0.0,47.9
c001,2025-10,1055,776,10717,763,712.56,24.42,2025-05,,1.0,44.5
c002,2025-03,428,286,13739,1038,756.04,4.37,2025-03,,1.0,40.6
c002,2025-04,368,199,9298,311,334.72,34.96,2025-03,False,1.0,38.4
c002,2025-05,395,221,3510,125,357.4,34.9,2025-03,False,1.0,23.5
c002,2025-06,369,157,8523,269,316.06,32.91,2025-03,True,0.0,67.8
c002,2025-07,382,326,3909,319,818.12,0.0,2025-03,True,0.0,58.3
c002,2025-08,364,289,4607,511,1110.98,21.3,2025-03,,0.0,52.8
c002,2025-09,457,299,7818,358,458.05,19.11,2025-03,True,0.0,61.5
c002,2025-10,469,419,7261,52,72.51,28.51,2025-03,,0.0,51.3
c003,2025-05,299,197,10952,341,312.23,0.0,2025-05,False,0.0,65.8
c003,2025-06,397,348,8857,929,1049.34,7.49,2025-05,False,0.0,58.0
c003,2025-07,387,283,7410,769,1038.28,0.0,2025-05,,0.0,75.1
c003,2025-08,371,294,6441,208,324.05,10.59,2025-05,,1.0,34.4
c003,2025-09,301,170,8106,377,465.17,25.11,2025-05,,0.0,55.5
c003,2025-10,318,254,4559,321,705.52,6.56,2025-05,True,1.0,15.7
c004,2025-04,569,360,12798,191,149.32,15.32,2025-04,True,0.0,47.0
c004,2025-05,717,501,23264,254,109.56,36.64,2025-04,,0.0,53.0
c004,2025-06,619,473,10312,224,217.37,22.73,2025-04,False,0.0,57.7
c004,2025-07,651,506,7843,629,802.36,4.94,2025-04,,0.0,72.7
c004,2025-08,778,685,26702,1324,496.03,13.07,2025-04,True,0.0,31.8
c004,2025-09,717,460,20136,20,10.0,9.94,2025-04,True,0.0,65.2
c004,2025-10,786,722,8930,244,273.44,29.98,2025-04,False,0.0,54.0
c005,2025-01,3803,1604,51624,1067,206.8,0.0,2025-01,,0.0,61.8
c005,2025-02,3271,2612,105428,1409,133.72,29.69,2025-01,True,0.0,60.5
c005,2025-03,3800,3244,84936,1297,152.81,27.19,2025-01,,0.0,68.3
c005,2025-04,3473,2790,39489,768,194.61,32.1,2025-01,True,0.0,58.1
c005,2025-05,2770,2007,43496,701,161.19,33.64,2025-01,False,0.0,77.4
c005,2025-06,3331,3294,69633,1433,205.93,0.0,2025-01,True,0.0,47.7
c005,2025-07,3002,1802,46764,1874,400.74,16.63,2025-01,False,0.0,57.5
c005,2025-08,3750,2556,147806,12818,867.26,33.64,2025-01,,1.0,28.8
c005,2025-09,3277,1852,75025,6199,826.32,25.0,2025-01,,1.0,50.1
c005,2025-10,3420,1934,118876,6284,528.66,6.75,2025-01,False,0.0,53.1
c006,2025-04,735,349,17570,957,545.1,0.0,2025-04,True,0.0,42.3
c006,2025-05,710,476,8311,401,483.3,38.29,2025-04,True,0.0,60.6
c006,2025-06,589,464,22925,701,305.92,4.19,2025-04,False,1.0,35.2
c006,2025-07,652,303,14610,552,377.9,16.76,2025-04,True,0.0,57.3
c006,2025-08,565,444,15414,193,125.74,32.39,2025-04,False,1.0,35.6
c006,2025-09,593,283,17379,580,334.24,0.0,2025-04,False,0.0,49.3
c006,2025-10,668,421,9568,306,320.62,11.14,2025-04,,0.0,57.8
c007,2025-04,59,53,1707,30,177.17,0.0,2025-04,True,0.0,50.6
c007,2025-05,65,44,1765,73,417.73,25.21,2025-04,True,0.0,46.4
c007,2025-06,63,38,1522,75,499.2,11.57,2025-04,,0.0,54.7
c007,2025-07,68,56,1762,30,171.65,39.73,2025-04,True,0.0,60.2
c007,2025-08,63,47,1472,72,492.72,9.76,2025-04,True,1.0,2.6
c007,2025-09,69,29,1726,40,234.35,10.2,2025-04,False,1.0,21.8
